,dp_before,dp_after,gm_before,gm_after,ii_before,ii_after,c_before,c_after,a_before,a_after
mean,3.245093525,3.202532374,2.947683453,3.018633094,3.74294964,3.639136691,4.185395683,4.173971223,3.106877698,2.976647482
stddev,1.50714923,1.54845593,1.557763106,1.594284913,1.289333235,1.330038396,1.049607218,1.033003399,1.577860389,1.579505398
min,1,1,1,1,1,1,1,1,1,1
Q1,1.737944295,1.654076444,1.389920347,1.424348181,2.453616405,2.309098294,3.135788466,3.140967824,1.529017309,1.397142084
median,3.67,3.6,3,3.23,4.18,4.01,4.66,4.62,3.35,3.01
Q3,4.245093525,4.202532374,3.947683453,4.018633094,4.74294964,4.639136691,5.185395683,5.173971223,4.106877698,3.976647482
max,5,5,5,5,5,5,5,5,5,5
